Speed,Acceleration,Power,Generation
240.0,3.4,161.0,992
304.0,3.8,151.0,992
304.0,4.4,151.0,992
307.0,3.5,161.0,992
307.0,4.3,161.0,992
289.0,4.4,129.2,992
310.0,4,127.6,992
330.0,2.8,173.6,992
320.0,2.9,154.9,992
309.0,3.6,161.0,992
309.0,4.3,161.0,992
307.0,3.5,161.0,992
307.0,4.3,161.0,992
306.0,3.7,151.0,992
304.0,3.6,151.0,992
289.0,4.4,129.2,992
291.0,4.4,129.2,992
330.0,2.7,173.6,992
320.0,2.8,154.9,992
315.0,4.1,146.9,992
300.0,3.7,131.4,992
296.0,3.2,131.4,992
318.0,3.4,127.6,992
320.0,3.9,127.6,992
311.0,3.4,161.0,992
311.0,4.1,161.0,992
309.0,3.3,161.0,992
309.0,4.1,161.0,992
308.0,3.7,151.0,992
306.0,3.6,151.0,992
291.0,4.0,129.2,992
291.0,4.5,129.2,992
291.0,4.2,129.2,992
293.0,4.1,129.2,992
330.0,3,152.6,991
320.0,3.1,142.1,991
308.0,3.8,151.0,991
310.0,4.2,151.0,991
306.0,3.7,151.0,991
308.0,4.1,151.0,991
304.0,4.3,140.9,991
306.0,4.5,140.9,991
290.0,4.6,124.1,991
292.0,4.8,124.1,991
301.0,4.2,140.9,991
303.0,4.4,140.9,991
306.0,3.7,151.0,991
308.0,4.1,151.0,991
287.0,4.5,124.1,991
289.0,4.7,124.1,991
330.0,2.9,159.7,991
330.0,2.9,152.6,991
320.0,3,142.1,991
312.0,3.2,130.1,991
318.0,3.4,125.1,991
320.0,3.9,125.1,991
340.0,2.8,184.2,991
310.0,3.7,151.0,991
312.0,4.1,151.0,991
308.0,3.6,151.0,991
310.0,4,151.0,991
306.0,4.1,140.9,991
308.0,4.3,140.9,991
303.0,4,140.9,991
305.0,4.2,140.9,991
291.0,4.2,124.1,991
293.0,4.5,124.1,991
293.0,4.4,124.1,991
295.0,4.6,124.1,991
294.0,4.4,105.3,991
296.0,4.8,105.3,991
301.0,4.3,113.2,991
303.0,4.7,113.2,991
280.0,4.8,101.9,991
282.0,5.2,101.9,991
318.0,3.1,147.4,991
315.0,3.5,136.8,991
302.0,4.2,113.2,991
304.0,4.6,113.2,991
301.0,4.2,113.2,991
303.0,4.6,113.2,991
299.0,4.3,105.3,991
301.0,4.7,105.3,991
294.0,4.3,105.3,991
296.0,4.7,105.3,991
280.0,4.7,101.9,991
282.0,5.1,101.9,991
284.0,4.6,101.9,991
286.0,5,101.9,991
318.0,3.1,147.4,991
312.0,3.5,126.1,991
310.0,3.3,125.1,991
315.0,3.5,125.0,991
304.0,4,113.2,991
306.0,4.4,113.2,991
302.0,4,113.2,991
304.0,4.4,113.2,991
302.0,4.1,105.3,991
304.0,4.5,105.3,991
297.0,4.1,105.3,991
299.0,4.5,105.3,991
283.0,4.5,101.9,991
285.0,4.9,101.9,991
287.0,4.4,101.9,991
289.0,4.8,101.9,991
315.0,3.4,139.5,997
312.0,3.6,131.6,997
312.0,3.8,131.6,997
340.0,4.6,107.4,997
306.0,4.8,107.4,997
300.0,4.5,107.4,997
302.0,4.8,107.4,997
300.0,4.7,101.3,997
302.0,4.9,101.3,997
295.0,4.6,101.3,997
297.0,4.9,101.3,997
282.0,5,95.5,997
284.0,5.2,95.5,997
287.0,4.9,95.5,997
289.0,5.1,95.5,997
295.0,4.7,101.3,997
297.0,4.9,101.3,997
282.0,5,95.5,997
284.0,5.2,95.5,997
315.0,3.3,139.5,997
312.0,3.5,131.6,997
312.0,3.7,131.6,997
310.0,4,118.5,997
312.0,4.1,114.6,997
330.0,3.5,172.2,997
304.0,4.6,107.4,997
306.0,4.8,107.4,997
300.0,4.4,107.4,997
302.0,4.6,107.4,997
300.0,4.5,101.3,997
302.0,4.7,101.3,997
295.0,4.5,101.3,997
297.0,4.7,100.7,997
282.0,4.8,95.5,997
284.0,5,95.5,997
287.0,4.7,95.5,997
289.0,4.9,95.5,997
280.0,5.4,92.8,997
288.0,4.9,92.8,997
275.0,5.8,90.4,997
280.0,5.3,90.4,997
310.0,3.8,133.3,997
310.0,4,133.3,997
285.0,5.4,92.8,997
293.0,4.9,92.8,997
280.0,5.4,92.8,997
288.0,4.9,92.8,997
275.0,5.8,90.4,997
280.0,5.3,90.4,997
280.0,5.7,90.4,997
285.0,5.2,90.4,997
310.0,3.7,133.3,997
310.0,3.9,133.3,997
310.0,4.2,115.3,997
310.0,4.3,115.3,997
329.0,3.7,147.2,997
285.0,5.3,92.8,997
293.0,4.8,92.8,997
280.0,5.3,92.8,997
288.0,4.8,92.8,997
275.0,5.6,90.4,997
280.0,5.1,90.4,997
280.0,5.5,90.4,997
285.0,5,90.4,997
295.0,4.9,116.7,996
305.0,4.3,116.7,996
275.0,5.9,89.0,996
280.0,5.3,89.0,996
280.0,5.7,89.0,996
285.0,5.2,89.0,996
280.0,5.7,89.0,996
285.0,5.2,89.0,996
280.0,5.7,89.0,996
285.0,5.2,89.0,996
296.0,4.8,116.7,996
303.0,4.2,116.7,996
306.0,4.3,105.6,996
315.0,4.1,134.2,996
275.0,5.6,89.0,996
280.0,5.1,89.0,996
280.0,5.5,89.0,996
285.0,5,89.0,996
280.0,5.5,89.0,996
285.0,5,89.0,996
275.0,6.2,88.6,996
280.0,5.4,88.6,996
275.0,6.2,88.6,996
280.0,5.4,88.6,996
302.0,4.8,100.0,996
275.0,6,88.6,996
280.0,5.2,88.6,996
274.0,5.2,88.6,996
280.0,5.2,88.6,996
275.0,5.4,79.2,993
275.0,5.4,79.2,993
290.0,4.5,113.3,993
295.0,4.4,119.4,993
277.0,5,80.1,993
270.0,5.3,79.2,993
275.0,5.3,79.2,993
275.0,5.4,79.2,993
275.0,5.4,79.2,993
270.0,5.5,75.6,993
270.0,5.6,75.6,993
270.0,5.6,75.6,993
275.0,5.3,101.4,993
275.0,5.3,79.2,993
275.0,5.4,79.2,993
275.0,5.4,79.2,993
275.0,5.3,75.6,993
270.0,5.6,75.6,993
270.0,5.6,75.6,993
260.0,5.7,69.4,964
260.0,5.9,69.4,964
260.0,5.7,69.4,964
256.0,6.6,69.4,964
260.0,5.7,69.4,964
262.0,5.7,106.9,964
262.0,5.7,115.5,964
280.0,4.8,100.0,964
270.0,5,97.0,964
260.0,5.4,72.2,964
260.0,5.7,69.4,964
256.0,6.6,69.4,964
260.0,5.7,69.4,964
260.0,5.7,69.4,964
260.0,5.7,69.4,964
260.0,5.4,90.9,964
260.0,5.2,90.9,964
245.0,6.1,73.0,G
240.0,6.4,68.9,G
235.0,6.5,65.4,G
236.0,6.4,68.1,G
270.0,6.4,100.1,G
260.0,5.4,91.2,G
260.0,5.2,90.9,G
260.0,5.4,85.5,G
250.0,5.5,86.9,G
250.0,5.5,81.9,G
225.0,7,62.8,G
225.0,7,60.1,G
236.0,6.4,66.8,G
225.0,6.4,65.1,G
215.0,6.4,61.4,G
210.0,6.4,55.8,G
245.0,6.1,73.0,G
240.0,6.3,68.6,G
235.0,6.5,65.4,G
235.0,6.8,68.1,G
225.0,7,62.8,G
220.0,7,60.1,G
230.0,6.5,66.8,G
225.0,7.6,65.1,G
240.0,6.3,78.2,G
215.0,6.4,61.4,G
210.0,8.5,55.8,G
245.0,8,78.2,901
205.0,8,55.6,901
220.0,8,70.5,901
206.0,8,57.0,901
200.0,8,55.2,901
230.0,8,85.4,901
225.0,8,80.4,901
219.0,8,65.3,901
215.0,8,70.3,901
240.0,6.3,78.2,901
219.0,8,59.8,901
205.0,9.5,55.5,901
219.0,8,81.2,901
230.0,7,81.2,901
220.0,7.9,70.5,901
205.0,10,56.9,901
230.0,7.5,82.0,901
220.0,8,70.7,901
200.0,8,55.2,901
230.0,8,85.4,901
219.0,8,80.4,901
219.0,8,65.3,901
215.0,8,70.3,901
210.0,8,65.3,901